,Unnamed: 0,CustomerID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Dates
0,0,1,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,01.09.2018
1,1,2,56,Male,T-shirt,Clothing,37,New York,S,Violet,Fall,4.9,No,Next Day Air,Yes,Yes,14,Cash,Annually,01.09.2018
2,2,3,70,Male,Jewelry,Accessories,81,Vermont,XL,Black,Summer,3.9,No,Store Pickup,No,No,44,Venmo,Monthly,11.14.2018
3,3,4,53,Male,Blouse,Clothing,95,Wyoming,L,Violet,Winter,4.7,No,Free Shipping,No,No,50,Debit Card,Bi-Weekly,10.21.2018
4,4,5,41,Male,Sweater,Clothing,23,Pennsylvania,M,Beige,Winter,4.8,No,Next Day Air,No,No,26,Cash,Quarterly,05.27.2018
5,5,6,63,Male,Sunglasses,Accessories,59,Florida,M,White,Winter,3.2,Yes,Express,Yes,Yes,15,Credit Card,Quarterly,06.03.2018
6,6,7,62,Male,Shorts,Clothing,50,Illinois,M,Yellow,Summer,3.7,No,Store Pickup,Yes,Yes,18,Venmo,Weekly,12.05.2018
7,7,8,41,Male,Jeans,Clothing,74,South Carolina,S,Silver,Summer,3.8,Yes,Standard,Yes,Yes,15,Cash,Annually,10.20.2018
8,8,9,55,Male,Sunglasses,Accessories,67,Massachusetts,S,Magenta,Summer,4.7,No,Store Pickup,Yes,Yes,33,PayPal,Annually,12.04.2018
9,9,10,70,Female,Hat,Accessories,80,Virginia,M,White,Winter,4.5,No,Express,No,No,3,Bank Transfer,Monthly,07.10.2018
10,10,11,41,Male,Handbag,Accessories,68,Mississippi,L,Turquoise,Winter,4,No,Next Day Air,No,No,41,Venmo,Fortnightly,04.03.2018
11,11,12,59,Female,Sandals,Footwear,70,Louisiana,M,Charcoal,Spring,4.8,No,Free Shipping,No,No,17,Cash,Bi-Weekly,08.02.2018
12,12,13,23,Female,Pants,Clothing,42,Montana,L,Black,Summer,4,No,Store Pickup,No,No,34,Bank Transfer,Weekly,11.01.2018
13,13,14,58,Male,Sneakers,Footwear,25,Tennessee,M,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,Annually,07.22.2018
14,14,15,54,Male,Shoes,Footwear,84,Maine,M,Orange,Spring,4.9,No,Next Day Air,No,No,16,PayPal,Every 3 Months,08.27.2018
15,15,16,46,Female,Belt,Accessories,49,New Mexico,S,Green,Summer,4.2,No,Express,No,No,20,Venmo,Annually,05.10.2018
16,16,17,39,Male,Shorts,Clothing,67,Nevada,M,Gray,Winter,2.7,No,Store Pickup,No,No,47,Cash,Quarterly,11.19.2018
17,17,18,26,Male,Socks,Clothing,26,Virginia,M,Lavender,Summer,3.7,No,Next Day Air,No,No,14,Credit Card,Bi-Weekly,04.27.2018
18,18,19,29,Male,Scarf,Accessories,33,New Mexico,L,Violet,Summer,3.1,No,Next Day Air,Yes,Yes,49,Bank Transfer,Every 3 Months,05.30.2018
19,19,20,25,Male,Boots,Footwear,77,Oklahoma,M,Purple,Fall,4,No,Express,Yes,Yes,21,Bank Transfer,Weekly,09.09.2018
20,20,21,54,Male,Hat,Accessories,25,Tennessee,S,Violet,Fall,3,No,Free Shipping,No,No,38,PayPal,Bi-Weekly,04.15.2018
21,21,22,42,Male,Socks,Clothing,78,Arizona,XL,Black,Fall,4,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Annually,01.14.2018
22,22,23,44,Female,Jacket,Outerwear,93,Arizona,L,Gray,Summer,4.6,No,Free Shipping,No,No,17,PayPal,Every 3 Months,06.10.2018
23,23,24,56,Male,Skirt,Clothing,43,Alabama,L,Black,Fall,2.8,No,Express,Yes,Yes,4,Bank Transfer,Annually,11.10.2018
24,24,25,35,Male,Backpack,Accessories,40,Colorado,M,Violet,Summer,4.2,No,Standard,No,No,28,Bank Transfer,Annually,06.27.2018
25,25,26,47,Female,Jewelry,Accessories,34,North Dakota,M,Blue,Winter,4.8,No,Free Shipping,No,No,49,Debit Card,Every 3 Months,03.02.2018
26,26,27,70,Female,Sweater,Clothing,88,Arizona,M,Brown,Fall,4.2,No,Express,No,No,43,Cash,Bi-Weekly,05.25.2018
27,27,28,51,Female,Boots,Footwear,55,Louisiana,S,Purple,Spring,5,No,2-Day Shipping,No,No,20,Cash,Weekly,09.03.2018
28,28,29,55,Male,Jacket,Outerwear,55,Indiana,S,Yellow,Winter,3.9,No,Express,Yes,Yes,1,Cash,Annually,05.12.2018
29,29,30,31,Female,Backpack,Accessories,83,North Carolina,M,Magenta,Summer,4.7,No,Express,No,No,46,PayPal,Annually,11.03.2018
30,30,31,64,Female,Dress,Clothing,82,Georgia,M,Gold,Summer,3.1,No,Free Shipping,No,No,1,Debit Card,Quarterly,04.12.2018
31,31,32,28,Male,Belt,Accessories,94,Maryland,M,Indigo,Spring,2.9,No,Next Day Air,No,No,4,Credit Card,Bi-Weekly,09.14.2018
32,32,33,40,Female,Backpack,Accessories,20,Kansas,M,Olive,Spring,4.6,No,Express,No,No,50,PayPal,Bi-Weekly,04.02.2018
